epoch,t_rel,en0_opkts,en0_oerrs,en7_opkts,en7_oerrs
1788069090.141,128.410,73,0,8580,0
1788069090.420,128.689,73,0,8592,0
1788069090.656,128.925,77,0,8600,0
1788069090.900,129.169,77,0,8610,0
1788069091.146,129.415,77,0,8622,0
1788069091.393,129.662,77,0,8632,0
1788069091.639,129.908,78,0,8641,0
1788069091.888,130.157,78,0,8645,0
1788069092.141,130.410,78,0,8650,0
1788069092.455,130.724,78,0,8650,0
1788069092.693,130.962,78,0,8650,0
1788069092.933,131.202,78,0,8653,0
1788069093.170,131.439,79,0,8653,0
1788069093.410,131.679,79,0,8653,0
1788069093.657,131.926,79,0,8656,0
1788069093.900,132.169,79,0,8656,0
1788069094.147,132.416,79,0,8658,0
1788069094.394,132.663,79,0,8658,0
1788069094.637,132.906,79,0,8658,0
1788069094.889,133.158,79,0,8658,0
1788069095.129,133.398,79,0,8662,0
1788069095.377,133.646,79,0,8668,0
1788069095.617,133.886,80,0,8676,0
1788069095.856,134.125,80,0,8688,0
1788069096.092,134.361,80,0,8696,0
1788069096.337,134.606,80,0,8706,0
1788069096.577,134.846,80,0,8717,0
1788069096.823,135.092,80,0,8727,0
1788069097.067,135.336,80,0,8736,0
1788069097.316,135.585,80,0,8746,0
1788069097.556,135.825,80,0,8759,0
1788069097.805,136.074,81,0,8767,0
1788069098.050,136.319,81,0,8777,0
1788069098.294,136.563,81,0,8785,0
1788069098.532,136.801,81,0,8795,0
1788069098.824,137.093,81,0,8805,0
1788069099.072,137.341,81,0,8822,0
1788069099.310,137.579,81,0,8832,0
1788069099.547,137.816,81,0,8841,0
1788069099.806,138.075,87,0,8851,0
1788069100.062,138.331,88,0,8881,0
1788069100.379,138.648,88,0,8912,0
1788069100.628,138.897,88,0,8930,0
1788069100.881,139.150,88,0,8932,0
1788069101.134,139.403,88,0,8935,0
1788069101.381,139.650,88,0,8937,0
1788069101.633,139.902,88,0,8937,0
1788069101.887,140.156,88,0,8937,0
1788069102.139,140.408,88,0,8939,0
1788069102.389,140.658,88,0,8944,0
1788069102.627,140.896,88,0,8946,0
1788069102.932,141.201,88,0,8946,0
1788069103.178,141.447,88,0,8946,0
1788069103.426,141.695,88,0,8946,0
1788069103.667,141.936,88,0,8951,0
1788069103.934,142.203,88,0,8959,0
1788069104.179,142.448,88,0,8978,0
1788069104.428,142.697,88,0,8988,0
1788069104.680,142.949,88,0,9003,0
1788069104.924,143.193,88,0,9020,0
1788069105.177,143.446,88,0,9030,0
1788069105.422,143.691,88,0,9080,0
1788069105.672,143.941,89,0,9093,0
1788069105.921,144.190,89,0,9103,0
1788069106.160,144.429,89,0,9113,0
1788069106.405,144.674,89,0,9121,0
1788069106.648,144.917,89,0,9131,0
1788069106.893,145.162,89,0,9144,0
1788069107.156,145.425,90,0,9154,0
1788069107.397,145.666,90,0,9162,0
1788069107.638,145.907,90,0,9172,0
1788069107.888,146.157,90,0,9180,0
1788069108.150,146.419,90,0,9190,0
1788069108.420,146.689,90,0,9205,0
1788069108.682,146.951,90,0,9209,0
1788069108.960,147.229,90,0,9209,0
1788069109.197,147.466,90,0,9209,0
1788069109.441,147.710,91,0,9209,0
1788069109.705,147.974,91,0,9211,0
1788069109.945,148.214,91,0,9216,0
1788069110.191,148.460,91,0,9220,0
1788069110.442,148.711,91,0,9254,0
1788069110.688,148.957,91,0,9264,0
1788069110.933,149.202,91,0,9272,0
1788069111.188,149.457,91,0,9272,0
1788069111.427,149.696,91,0,9272,0
1788069111.676,149.945,91,0,9273,0
1788069111.947,150.216,91,0,9279,0
1788069112.192,150.461,91,0,9338,0
1788069112.434,150.703,91,0,9348,0
1788069112.679,150.948,91,0,9358,0
1788069112.957,151.226,91,0,9366,0
1788069113.310,151.579,91,0,9386,0
1788069113.553,151.822,91,0,9398,0
1788069113.796,152.065,91,0,9406,0
1788069114.050,152.319,91,0,9417,0
1788069114.288,152.557,91,0,9430,0
1788069114.533,152.802,91,0,9438,0
1788069114.774,153.043,95,0,9451,0
1788069115.016,153.285,95,0,9459,0
1788069115.262,153.531,95,0,9476,0
1788069115.509,153.778,95,0,9522,0
1788069115.773,154.042,95,0,9532,0
1788069116.034,154.303,95,0,9550,0
1788069116.341,154.610,95,0,9562,0
1788069116.590,154.859,95,0,9574,0
1788069116.838,155.107,95,0,9584,0
1788069117.081,155.350,95,0,9590,0
1788069117.323,155.592,95,0,9590,0
1788069117.571,155.840,95,0,9592,0
1788069117.808,156.077,95,0,9592,0
1788069118.064,156.333,95,0,9592,0
1788069118.324,156.593,95,0,9594,0
1788069118.591,156.860,95,0,9594,0
1788069118.847,157.116,95,0,9594,0
1788069119.093,157.362,95,0,9596,0
1788069119.339,157.608,95,0,9598,0
1788069119.589,157.858,95,0,9598,0
1788069119.886,158.155,95,0,9598,0
1788069120.124,158.393,95,0,9598,0
1788069120.410,158.679,95,0,9630,0
1788069120.646,158.915,95,0,9639,0
1788069120.898,159.167,95,0,9649,0
1788069121.141,159.410,95,0,9658,0
1788069121.388,159.657,96,0,9669,0
1788069121.660,159.929,96,0,9680,0
1788069121.909,160.178,96,0,9691,0
1788069122.157,160.426,96,0,9700,0
1788069122.401,160.670,96,0,9715,0
1788069122.644,160.913,96,0,9725,0
1788069122.882,161.151,96,0,9733,0
1788069123.132,161.401,96,0,9747,0
1788069123.383,161.652,96,0,9755,0
1788069123.650,161.919,96,0,9768,0
1788069123.889,162.158,96,0,9778,0
1788069124.126,162.395,96,0,9788,0
1788069124.366,162.635,96,0,9796,0
1788069124.609,162.878,96,0,9806,0
1788069124.851,163.120,96,0,9818,0
1788069125.093,163.362,96,0,9828,0
1788069125.384,163.653,96,0,9869,0
1788069125.625,163.894,96,0,9875,0
1788069125.874,164.143,96,0,9877,0
1788069126.112,164.381,97,0,9877,0
1788069126.352,164.621,97,0,9877,0
1788069126.590,164.859,97,0,9879,0
1788069126.849,165.118,97,0,9881,0
1788069127.090,165.359,97,0,9881,0
1788069127.341,165.610,97,0,9881,0
1788069127.583,165.852,97,0,9882,0
1788069127.840,166.109,97,0,9884,0
1788069128.084,166.353,97,0,9886,0
1788069128.333,166.602,97,0,9892,0
1788069128.598,166.867,97,0,9892,0
1788069128.860,167.129,97,0,9894,0
1788069129.107,167.376,97,0,9902,0
1788069129.342,167.611,97,0,9912,0
1788069129.571,167.840,97,0,9922,0
1788069129.828,168.097,97,0,9930,0
1788069130.071,168.340,97,0,9953,0
1788069130.349,168.618,97,0,9972,0
1788069130.583,168.852,97,0,10021,0
1788069130.833,169.102,97,0,10031,0
1788069131.126,169.395,98,0,10041,0
1788069131.359,169.628,98,0,10053,0
1788069131.593,169.862,98,0,10063,0
1788069131.820,170.089,98,0,10072,0
1788069132.093,170.362,98,0,10084,0
1788069132.344,170.613,98,0,10096,0
1788069132.594,170.863,98,0,10104,0
1788069132.833,171.102,98,0,10114,0
